Steps, Time,,,,,,Steps, Time
21,0.03399992,,,,,,20,0.118999958
21,0.021999836,,,,,,26,0.141000032
21,0.032000065,,,,,,11,0.001000166
21,0.161000013,,,,,,16,0.005000114
21,0.080999851,,,,,,24,0.232000113
21,0.021000147,,,,,,23,0.118999958
21,0.013000011,,,,,,27,0.519000053
21,0.028000116,,,,,,28,0.14199996
21,0.049000025,,,,,,22,0.03399992
21,0.029999971,,,,,,20,0.047999859
21,0.072000027,,,,,,17,0.003000021
21,0.096999884,,,,,,27,1.233999968
21,0.099999905,,,,,,27,0.111999989
21,0.09100008,,,,,,19,0.075999975
21,0.059000015,,,,,,25,0.548000097
21,0.060000181,,,,,,21,0.062000036
21,0.065999985,,,,,,22,0.109999895
22,0.201999903,0.062208315,22,,,,21,0.022000074
22,0.042999983,,,,,,20,0.019999981
22,0.039999962,,,,,,23,0.00999999
22,0.069999933,,,,,,21,0.028000116
22,0.07400012,,,,,,28,0.421000004
22,0.063000202,,,,,,23,0.037000179
22,0.007999897,,,,,,21,0.039999962
22,0.106999874,,,,,,20,0.038000107
22,0.028000116,,,,,,25,0.147000074
22,0.072000027,,,,,,23,0.190000057
22,0.01699996,,,,,,19,0.003999949
22,0.108999968,,,,,,26,0.223999977
22,0.021999836,,,,,,24,0.042000055
22,0.118000031,,,,,,23,0.17599988
22,0.174999952,,,,,,28,0.27699995
22,0.046000004,,,,,,24,0.055999994
22,0.063999891,,,,,,23,0.03399992
22,0.025000095,,,,,,26,0.131000042
22,0.105000019,,,,,,25,0.06799984
22,0.044999838,,,,,,24,0.151000023
22,0.039000034,,,,,,17,0.015000105
22,0.018999815,,,,,,21,0.095999956
22,0.246000051,,,,,,26,0.217999935
22,0.039999962,,,,,,24,0.021999836
22,0.02699995,,,,,,26,0.010999918
22,0.121000051,,,,,,17,0.008999825
22,0.009000063,,,,,,25,0.057999849
22,0.029999971,,,,,,22,0.022000074
22,0.0849998,,,,,,25,0.075999975
22,0.056999922,,,,,,15,0.007999897
22,0.099999905,,,,,,27,0.137000084
22,0.016000032,,,,,,22,0.075999975
22,0.075000048,,,,,,27,0.218999863
22,0.011999846,,,,,,19,0.02699995
22,0.052999973,,,,,,23,0.133000135
22,0.055999994,,,,,,16,0.003999949
22,0.016000032,,,,,,28,0.160000086
22,0.122999907,,,,,,27,0.107000113
22,0.030999899,,,,,,24,0.110000134
22,0.040999889,,,,,,20,0.023999929
22,0.01699996,,,,,,29,0.319000006
22,0.090000153,,,,,,22,0.019000053
22,0.049000025,,,,,,20,0.112999916
22,0.035000086,,,,,,24,0.150000095
