Steps, Time
23, 0.0199999809265
16, 0.00399994850159
22, 0.0369999408722
20, 0.0240001678467
26, 0.0429999828339
23, 0.066999912262
19, 0.0120000839233
19, 0.0090000629425
26, 0.263000011444
27, 0.255999803543
22, 0.123000144958
24, 0.0989999771118
21, 0.00699996948242
20, 0.0199999809265
27, 0.157999992371
27, 0.516999959946
19, 0.00799989700317
22, 0.0150001049042
23, 0.0629999637604
23, 0.0190000534058
25, 0.167999982834
25, 0.124000072479
26, 0.139999866486
25, 0.0490000247955
26, 0.0780000686646
20, 0.0199999809265
23, 0.0529999732971
25, 0.12700009346
21, 0.0980000495911
11, 0.0019998550415
25, 0.770999908447
25, 0.315999984741
24, 0.0349998474121
19, 0.0329999923706
25, 0.0849997997284
20, 0.00699996948242
29, 0.851999998093
16, 0.0160000324249
20, 0.0110001564026
21, 0.0239999294281
23, 0.0429999828339
25, 0.0260000228882
23, 0.101999998093
28, 0.178999900818
22, 0.0310001373291
26, 0.292999982834
22, 0.105000019073
23, 0.0930001735687
30, 0.465000152588
22, 0.0190000534058
21, 0.047000169754
28, 0.250999927521
24, 0.0869998931885
23, 0.0599999427795
22, 0.0169999599457
23, 0.0450000762939
23, 0.203000068665
25, 0.105000019073
25, 0.169000148773
27, 0.147000074387
27, 0.069000005722
26, 0.183000087738
20, 0.00899982452393
11, 0.00300002098083
25, 0.055999994278
19, 0.00600004196167
20, 0.0260000228882
26, 0.123999834061
18, 0.0410001277924
22, 0.0169999599457
31, 1.40799999237
24, 0.194999933243
16, 0.0150001049042
25, 0.115000009537
26, 0.0629999637604
26, 0.0880000591278
23, 0.00399994850159
25, 0.171000003815
14, 0.00300002098083
27, 0.120000123978
23, 0.0139999389648
30, 0.414999961853
19, 0.0310001373291
17, 0.0260000228882
29, 0.619999885559
22, 0.141999959946
23, 0.0860002040863
24, 0.0799999237061
21, 0.0320000648499
23, 0.0840001106262
27, 0.230999946594
29, 0.25200009346
28, 0.0599999427795
20, 0.0350000858307
24, 0.125
26, 0.167999982834
21, 0.0179998874664
23, 0.0130000114441
27, 0.240999937057
25, 0.828999996185
28, 0.366999864578
4, 0.00100016593933
25, 0.0929999351501
24, 0.0980000495911
15, 0.00200009346008
25, 0.31500005722
23, 0.0360000133514
22, 0.0859999656677
24, 0.230999946594
21, 0.0700001716614
29, 0.455000162125
21, 0.0360000133514
27, 0.203999996185
30, 0.0859999656677
27, 0.31600022316
23, 0.149999856949
23, 0.0360000133514
19, 0.018000125885
25, 0.173000097275
24, 0.227999925613
25, 0.104000091553
28, 0.24799990654
25, 0.104000091553
28, 0.476999998093
27, 0.208000183105
23, 0.0350000858307
22, 0.0240001678467
28, 0.0910000801086
19, 0.0479998588562
26, 0.117000102997
16, 0.0309998989105
22, 0.021999835968
24, 0.158999919891
25, 0.0210001468658
24, 0.0799999237061
22, 0.0409998893738
24, 0.0429999828339
24, 0.0719997882843
24, 0.0699999332428
21, 0.0190000534058
28, 0.324000120163
21, 0.00799989700317
27, 0.87299990654
25, 0.0490000247955
19, 0.0149998664856
24, 0.0130000114441
15, 0.00600004196167
24, 0.0549998283386
20, 0.118999958038
26, 0.141000032425
11, 0.00100016593933
16, 0.00500011444092
24, 0.232000112534
23, 0.118999958038
27, 0.519000053406
28, 0.141999959946
22, 0.0339999198914
20, 0.0479998588562
17, 0.00300002098083
27, 1.23399996758
27, 0.111999988556
19, 0.0759999752045
25, 0.548000097275
21, 0.0620000362396
22, 0.109999895096
21, 0.0220000743866
20, 0.0199999809265
23, 0.00999999046326
21, 0.0280001163483
28, 0.421000003815
23, 0.0370001792908
21, 0.039999961853
20, 0.0380001068115
25, 0.147000074387
23, 0.19000005722
19, 0.00399994850159
26, 0.223999977112
24, 0.0420000553131
23, 0.175999879837
28, 0.276999950409
24, 0.055999994278
